blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
909004,< 5 Sales; MultiFamily (>65% of Housing Units),3,0.89,0,14350,0,27,23,11,$20000.00,10.5
1002001,< 5 Sales; MultiFamily (>65% of Housing Units),3,0.84,367.17,9525,1,16,9,7,$130000.00,15.4
1101001,< 5 Residential Sales (2009-2010),3,0.31,37.74,26360,1,1,1,4,$450000.00,24.9
1102001,< 5 Sales; MultiFamily (>65% of Housing Units),3,0.8,0.42,8643.75,0,2,0,4,$166500.00,8.1
2717001,< 5 Residential Sales (2009-2010),3,0.21,0.48,2386.67,1,4,0,3,$63437.00,30
1401004,< 5 Sales; MultiFamily (>65% of Housing Units),3,0.97,281.01,17075,1,2,0,4,$179000.00,14.4
1302002,< 5 Residential Sales (2009-2010),3,0.58,6.91,11166.67,0,4,6,8,$110000.00,12.4
2804042,< 5 Residential Sales (2009-2010),3,0.77,2.52,523.53,0,0,2,1,$60000.00,77.5
1402001,< 5 Sales; MultiFamily (>65% of Housing Units),3,0.78,13.27,7850,3,8,23,7,$175000.00,7.1
803021,< 5 Residential Sales (2009-2010),2,0.8,0,14100,0,0,1,3,$78500.00,48.3
2717002,< 5 Residential Sales (2009-2010),2,0.64,10.08,6560,0,4,0,3,$82000.00,36
1701002,>50 residential lots; >40 % vacant lots,2,0.22,952.45,6180,0,40,1,6,$43276.00,9.2
2720025,< 5 Sales; MultiFamily (>65% of Housing Units),2,0.1,0,10125,0,0,0,0,$102500.00,9.6
2720024,< 5 Sales; MultiFamily (>65% of Housing Units),2,0.78,629.61,5735.71,0,1,0,1,$418500.00,30.3
807001,< 5 Residential Sales (2009-2010),2,0.2,10.48,2700,0,47,25,3,$10500.00,34.3
604002,< 5 Residential Sales (2009-2010),2,0.2,0,2366.67,0,2,0,8,$342450.00,32.3
2804032,< 5 Residential Sales (2009-2010),2,0.23,1.28,1932,0,6,1,5,$94375.00,39.1
1308051,< 5 Residential Sales (2009-2010),2,0.2,1,970.97,0,6,0,4,$221250.00,54.4
1205003,< 5 Residential Sales (2009-2010),2,0.44,1.17,6560,1,7,8,8,$213500.00,16.7
2604033,< 5 Residential Sales (2009-2010),2,0.71,0,34.29,0,21,0,14,$100000.00,66.7
301002,>50 residential lots; >50 % vacant lots,1,0,0.57,1800,0,58,1,5,$176000.00,42.2
1301001,< 5 Residential Sales (2009-2010),1,0,0,8533.33,0,2,13,15,$60000.00,25.3
2715031,< 5 Residential Sales (2009-2010),1,0,0.87,2441.38,0,1,0,1,$219500.00,74.4
1301004,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,18.94,16700,3,1,8,13,$565000.00,11.4
1505001,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,0.97,2110.53,1,7,8,6,$35000.00,19
2708032,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,3.05,5022.73,0,11,0,2,$150000.00,7.5
501002,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,0.78,5133.33,0,22,0,26,$220000.00,6.9
2506001,>50 residential lots; >40 % vacant lots,1,0,0,4.55,0,37,1,0,$18700.00,0
2506002,>50 residential lots; >40 % vacant lots,1,0,0,4.9,0,59,0,9,$159500.00,20.3
2602014,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,2.43,5917.39,1,14,1,12,$54900.00,2.7
2803011,>50 residential lots; >40 % vacant lots,1,0,48.35,1379.63,0,41,1,2,$92500.00,6.1
1402004,>50 residential lots; >40 % vacant lots,1,0,3.07,5166.67,1,46,16,3,$14700.00,22.1
2604041,>50 residential lots; >40 % vacant lots,1,0,0,48.98,0,37,2,0,$10000.00,14.4
302001,< 5 Residential Sales (2009-2010),1,0,0.29,1316.67,1,21,0,18,$45000.00,59.9
1202005,< 5 Sales; MultiFamily (>65% of Housing Units),1,0,0.76,21200,0,0,0,1,$182000.00,11.8
1702002,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,4.97,26255.56,11,5,0,50,$0.00,0
2502043,NR - Non-residential (<50 residential lots),0,0,9.28,25,0,0,0,0,$0.00,100
2404002,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0,0,$0.00,0
1002003,>50 residential lots; >50 % vacant lots,0,0,1.6,0,0,85,0,0,$0.00,0
2502071,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,13.79,2788.89,0,20,0,17,$0.00,1.7
2505005,>50 residential lots; >40 % vacant lots,0,0,0,1.05,0,46,0,20,$0.00,0
1004002,>50 residential lots; >50 % vacant lots,0,0,0.32,375,0,55,13,14,$0.00,20.5
1608021,NR - Non-residential (<50 residential lots),0,0,0,0,0,92,0,0,$0.00,0
704002,>50 residential lots; >50 % vacant lots,0,0,0,3075,0,90,0,0,$0.00,0
1205004,NR - Non-residential (<50 residential lots),0,0,0,20,0,6,0,0,$0.00,100
2603031,>50 residential lots; >40 % vacant lots,0,0,1.41,197.87,0,44,0,3,$0.00,29.4
2604011,NR - Non-residential (<50 residential lots),0,0,0,10.53,0,0,0,0,$0.00,0
2707021,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,229.43,9740,0,33,0,0,$0.00,0
2604012,NR - Non-residential (<50 residential lots),0,0,23.37,6.67,0,34,0,0,$0.00,0
1202004,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0,0,0,20,0,0,$0.00,0
2604013,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0,0,$0.00,0
2604032,NR - Non-residential (<50 residential lots),0,0,0,13.33,0,90,0,450,$0.00,0
501003,NR - Non-residential (<50 residential lots),0,0,0,4566.67,0,3,3,4,$0.00,9.4
1002004,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,208.94,71300,100,0,0,0,$0.00,0
2707011,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,5.45,8960,13,0,0,0,$0.00,0
2604044,NR - Non-residential (<50 residential lots),0,0,0,0,0,71,0,0,$0.00,0
808002,>50 residential lots; >50 % vacant lots,0,0,0,2450,22,72,1,2,$0.00,24.9
2201003,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0,0,$0.00,0
401001,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0.89,3350,0,6,0,5,$0.00,15.7
401002,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0.24,9553.33,0,12,1,21,$0.00,0.1
402001,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0.09,483.33,0,14,1,0,$0.00,4.4
402002,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,1.73,2390.91,2,15,0,0,$0.00,0
1003001,NR - Non-residential (<50 residential lots),0,0,0.36,0,0,0,0,0,$0.00,0
501001,< 5 Residential Sales (2009-2010),0,0,0.24,6.25,0,7,0,0,$0.00,0
1206003,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0.11,7542.86,1,8,2,18,$0.00,0.9
2502041,NR - Non-residential (<50 residential lots),0,0,56.39,7369.23,3,3,0,3,$0.00,5.2
605001,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0.78,7263.64,3,17,0,0,$0.00,0
