blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2704024,Middle Market Choice,25,0.48,11.85,3406.67,0,1,1,7,$114900.00,65.1
2005001,Distressed,25,0.85,2.01,7350,0,2,32,7,$15000.00,30.7
2705012,Middle Market Choice,25,0.3,4.73,2373.33,0,5,0,4,$160000.00,84.3
2706004,Middle Market Choice,25,0.42,0,3553.85,0,4,1,7,$155000.00,65.4
2708055,Middle Market Choice,25,0.65,3.67,2873.33,0,7,0,5,$111452.00,80.2
2713001,Regional Choice,25,0.53,3.45,1029.03,1,13,0,2,$490000.00,57.3
1506002,Distressed,25,0.82,512.86,4700,0,4,13,4,$24000.00,59.4
2716004,Distressed,25,0.88,3.77,3825,0,29,19,3,$24000.00,45.2
1604002,Distressed,25,1.11,44.17,8833.33,0,5,27,6,$12150.00,39.9
1511002,Middle Market,25,0.44,7.66,5800,0,2,1,3,$78000.00,48.8
2502052,Middle Market,25,0.43,11.18,5050,0,1,0,5,$87613.00,68
1512005,Distressed,24,0.78,0,5040,0,10,17,6,$40375.00,49.9
2201001,Regional Choice,24,0.33,3.86,2853.33,1,6,0,4,$207500.00,30
2701012,Middle Market,24,0.56,31.37,1259.26,0,2,1,10,$100500.00,63.3
1307005,Regional Choice,24,0.47,6.21,5870,1,8,0,2,$182500.00,65
2601014,Middle Market,24,0.45,49.64,2954.55,0,7,1,10,$106000.00,57.1
2712006,Regional Choice,24,0.46,4.31,1320.51,1,6,0,1,$462500.00,87
1606005,Distressed,24,0.9,0,7400,0,3,13,4,$21500.00,59.2
2804014,Middle Market,24,0.44,1.82,3566.67,0,1,0,5,$90000.00,90.4
2607001,Middle Market Choice,24,0.47,2.9,1640,0,14,1,4,$112764.00,52
1308041,Middle Market Choice,24,0.39,12.1,3766.67,0,11,1,3,$183500.00,58
2705011,Middle Market Choice,23,0.44,0.6,750,0,16,0,6,$154000.00,75.5
803014,Distressed,23,0.94,24.11,2350,0,30,38,5,$17453.00,29.8
2004004,Distressed,23,1.03,10.93,3850,0,17,24,3,$20000.00,37.2
1512003,Distressed,23,1.07,0,3642.86,0,5,17,7,$30005.00,48.6
2709013,Middle Market,23,0.51,8.36,11444.44,0,0,0,6,$75000.00,34.8
2701024,Middle Market Choice,23,0.44,0,3621.43,0,2,0,5,$122380.00,77.8
1902001,Middle Market Stressed,23,0.89,5.69,7060,2,4,14,15,$75000.00,33.8
1607006,Distressed,23,0.85,0,11450,0,5,9,9,$26000.00,53
1303003,Distressed,23,0.95,1.89,5733.33,0,14,23,3,$18000.00,33.8
2714002,Regional Choice,23,0.37,28.45,4533.33,1,7,0,1,$360000.00,53.9
803023,Distressed,23,0.64,0,10200,0,0,3,4,$26000.00,52.1
1502001,Distressed,23,1.14,0,8100,1,4,30,6,$15000.00,37.5
2718023,Distressed,23,1.3,515.7,6050,0,5,21,4,$18000.00,47
2006002,Distressed,23,0.67,3.49,1700,0,12,5,5,$33000.00,54.8
